,dt,inn,gtin,prid,operation_type,cnt
1899,2022-05-09,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
3215,2022-05-10,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
7818,2022-05-12,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
22154,2021-11-22,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
30935,2022-02-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
39427,2021-11-24,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
47782,2022-02-10,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
50017,2022-02-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
51396,2021-11-25,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
51843,2021-11-25,7212AD71AEBC10E2AF761E416E6C3B76,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
58534,2021-11-28,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
66788,2022-02-15,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
67773,2022-05-14,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
68703,2022-05-15,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
69151,2022-05-15,EDB98B591D193215ABE8F6F977CDBDA5,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
71849,2022-05-16,7212AD71AEBC10E2AF761E416E6C3B76,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
78968,2021-11-29,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
79432,2021-11-30,77F82E55113DC87D9DD6E67AC7C3B6A7,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Импорт. Не ЕАЭС,1500
82731,2021-11-30,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
89544,2022-02-17,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
93527,2022-05-18,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
95305,2022-05-19,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
107218,2021-12-03,D3F8B286B949AD667511C6963E910114,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
109394,2022-02-18,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
111609,2022-02-19,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
113311,2022-02-20,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
120544,2022-05-24,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,3
121970,2022-05-25,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
126731,2021-12-05,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
130724,2021-12-06,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
136161,2022-02-22,77F82E55113DC87D9DD6E67AC7C3B6A7,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Импорт. Не ЕАЭС,2001
150528,2021-12-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
161475,2022-02-25,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
163189,2022-02-26,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
171696,2022-06-03,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
177228,2021-12-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
179263,2021-12-12,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
184913,2022-06-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
185229,2022-06-07,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
187781,2022-06-08,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
211702,2022-06-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
216266,2022-03-03,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
218617,2022-03-04,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
225664,2021-12-16,A76D2B5AEB903A6F52715DE25D1A8219,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
228519,2021-12-17,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
232402,2022-06-15,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
240724,2022-03-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
252062,2021-12-20,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
