,dt,gtin,prid,sender_inn,receiver_inn,cnt_moved
23578,2022-04-01,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,AD8DB3B69E2B4D0BA070002EB0F3D133,2
37629,2022-10-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,AFA82C1AEE22FBF0A3B18A9BA8D713AB,27345BBD877724AB27E31E9217C9414D,3
52439,2022-08-01,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,18
53360,2022-08-01,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81450C425D2D97FEC5B491DE0142B82E,1
57136,2022-01-24,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,A76D2B5AEB903A6F52715DE25D1A8219,1
91285,2021-12-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,2202170A35738E0D29EF8A24BEFF0FBB,AFA82C1AEE22FBF0A3B18A9BA8D713AB,1
92226,2021-12-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,188
95595,2021-12-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,21
106726,2022-01-10,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81AAC456284F455FC2B141E6E8F1A76C,2
113909,2022-06-08,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,6B8E111AB5B5C556C0AEA292ACA4D88B,44
