,prid,gtin
0,77F82E55113DC87D9DD6E67AC7C3B6A7,87D6169E49E494EF8C40B172C73DE9A8
1,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936
2,5AC6384F0141E80A8A2F61B6BD91B809,A46D9D197E59B6DBB4BACD014724D319
3,8630E3AAA57E1BE56637A05FADAC931E,49EFABA49D8BBEBD78A04A378BA87F37
4,5AC6384F0141E80A8A2F61B6BD91B809,FA0D422E78E867B39A98E998095503DF
5,47D2C4F72F13FEA7B64567E73DD72345,C63C25F484C853085D2C5D86424F9401
6,6078FBCAFBD295F21A3D305811EAAF6F,1AD3018DE8BA47A6AE645638E2541009
7,6F4FE7763A6456EAE4CD6A3594D620F8,89B71DB584194517688E901E0E14149E
8,13FE7995BC071A827E42950EF6F309FB,D38FC37A4DB309BD939334A8CDB42297
9,3F6881C44891910366DEDFC2A86A1A0A,C2AEF80A302031879EAAEE6CEC0D0381
10,A43BE3249A22A8CCB7AE1F6D1B1477D0,50590D173C3FCA798B7EB9AD356B195B
11,DDCFB46388A2CC843CAB31B891CD3299,6717E364B9AEF03E59EB6415642F91A9
12,37927FD30AB8D25FD022060A68C383F5,B6305813A33E5D71EB1095E4C18C6D75
13,77F82E55113DC87D9DD6E67AC7C3B6A7,3232F479CAC107C633273CBD4FD01448
14,828C6D0D77BBF883BDAD1D1CD550B47E,71DBADD8E89ADC8053D5B584FF2BFD10
